file,reverberation-time
wav/1st_baptist_nashville__stereo__1st_baptist_nashville_far_close.wav,2.59
wav/1st_baptist_nashville__stereo__1st_baptist_nashville_far_wide.wav,2.59
wav/1st_baptist_nashville__stereo__1st_baptist_nashville_balcony.wav,2.59
wav/alcuin_college_university_york__b-format__alcuin_s4r1_bformat.wav,1.61
wav/alcuin_college_university_york__b-format__s2r2_spist_bform.wav,1.61
wav/alcuin_college_university_york__b-format__s1r1_spist_bform.wav,1.61
wav/alcuin_college_university_york__b-format__s4r1_spist_bform.wav,1.61
wav/alcuin_college_university_york__b-format__alcuin_s1r2front_bformat.wav,1.61
wav/alcuin_college_university_york__b-format__alcuin_s2r1front_bformat.wav,1.61
wav/alcuin_college_university_york__b-format__s3r1_spist_bform.wav,1.61
wav/alcuin_college_university_york__b-format__s1r2_spist_bform.wav,1.61
wav/alcuin_college_university_york__b-format__alcuin_s4r2_bformat.wav,1.61
wav/alcuin_college_university_york__b-format__alcuin_s2r3_bformat.wav,1.61
wav/alcuin_college_university_york__b-format__alcuin_s2r2front_bformat.wav,1.61
wav/alcuin_college_university_york__b-format__s2r3_spist_bform.wav,1.61
wav/alcuin_college_university_york__b-format__alcuin_s3r1_bformat.wav,1.61
wav/alcuin_college_university_york__b-format__s2r1_spist_bform.wav,1.61
wav/alcuin_college_university_york__b-format__alcuin_s1r2_bformat.wav,1.61
wav/alcuin_college_university_york__b-format__alcuin_s1r1_bformat.wav,1.61
wav/alcuin_college_university_york__b-format__s4r2_spist_bform.wav,1.61
wav/alcuin_college_university_york__b-format__alcuin_s1r1front_bformat.wav,1.61
wav/alcuin_college_university_york__b-format__alcuin_s1r3_bformat.wav,1.61
wav/alcuin_college_university_york__b-format__alcuin_s2r3front_bformat.wav,1.61
wav/alcuin_college_university_york__b-format__alcuin_s3r1front_bformat.wav,1.61
wav/alcuin_college_university_york__b-format__alcuin_s1r3front_bformat.wav,1.61
wav/alcuin_college_university_york__b-format__alcuin_s2r2_bformat.wav,1.61
wav/alcuin_college_university_york__b-format__alcuin_s2r1_bformat.wav,1.61
wav/alcuin_college_university_york__b-format__s1r3_spist_bform.wav,1.61
wav/hamilton_mausoleum__stereo__hm2_000_ortf_48k.wav,12.45
wav/saint_lawrence_church_molenbeek_wersbeek_belgium__stereo__ir_church_saint-laurentius_molenbeek_bekkevoort_belgium.wav,1.57
wav/st_patricks_church_patrington__stereo__ortf_s2r2.wav,1.83
wav/st_patricks_church_patrington__stereo__ortf_s1r1.wav,1.83
wav/st_patricks_church_patrington__stereo__ortf_s3r3.wav,1.83
wav/arthur_sykes_rymer_auditorium_university_york__b-format__s1r2.wav,0.39
wav/arthur_sykes_rymer_auditorium_university_york__b-format__s2r7.wav,0.39
wav/arthur_sykes_rymer_auditorium_university_york__b-format__s1r4.wav,0.39
wav/arthur_sykes_rymer_auditorium_university_york__b-format__s2r6.wav,0.39
wav/arthur_sykes_rymer_auditorium_university_york__b-format__s2r4.wav,0.39
wav/arthur_sykes_rymer_auditorium_university_york__b-format__s1r7.wav,0.39
wav/heslington_church_vaa_group_2__b-format__impulseresponseheslingtonchurch-005.wav,1.75
wav/heslington_church_vaa_group_2__b-format__impulseresponseheslingtonchurch-001.wav,1.75
wav/heslington_church_vaa_group_2__b-format__impulseresponseheslingtonchurch-006.wav,1.75
wav/heslington_church_vaa_group_2__b-format__impulseresponseheslingtonchurch-004.wav,1.75
wav/heslington_church_vaa_group_2__b-format__impulseresponseheslingtonchurch-003.wav,1.75
wav/heslington_church_vaa_group_2__b-format__impulseresponseheslingtonchurch-002.wav,1.75
wav/heslington_church_vaa_group_2__b-format__impulseresponseheslingtonchurch-007.wav,1.75
wav/shrine_and_parish_church_all_saints_north_street____b-format__r3_90_bformat.wav,1.7
wav/shrine_and_parish_church_all_saints_north_street____b-format__r4_90_bformat.wav,1.7
wav/shrine_and_parish_church_all_saints_north_street____b-format__r1_90_bformat.wav,1.7
wav/shrine_and_parish_church_all_saints_north_street____b-format__r2_90_bformat.wav,1.7
wav/shrine_and_parish_church_all_saints_north_street____b-format__r6_90_bformat.wav,1.7
wav/shrine_and_parish_church_all_saints_north_street____b-format__r5_90_bformat.wav,1.7
wav/central_hall_university_york__b-format__ir_row_3c_centre_front.wav,1.11
wav/central_hall_university_york__b-format__ir_centre_stalls.wav,1.11
wav/central_hall_university_york__b-format__ir_row_1c_sl_front.wav,1.11
wav/central_hall_university_york__b-format__ir_row_3l_centre_mid.wav,1.11
wav/central_hall_university_york__b-format__ir_row_1l_sl_centre.wav,1.11
wav/central_hall_university_york__b-format__ir_row_2l_diagonal_mid.wav,1.11
wav/hoffmann_lime_kiln_langcliffeuk__b-format__ir_p6.wav,0.93
wav/hoffmann_lime_kiln_langcliffeuk__b-format__ir_p3.wav,0.93
wav/hoffmann_lime_kiln_langcliffeuk__b-format__ir_p1.wav,0.93
wav/hoffmann_lime_kiln_langcliffeuk__b-format__ir_p2.wav,0.93
wav/hoffmann_lime_kiln_langcliffeuk__b-format__ir_p5.wav,0.93
wav/hoffmann_lime_kiln_langcliffeuk__b-format__ir_p4.wav,0.93
wav/creswell_crags__b-format__2_s_mainlevel_r_mouth.wav,0.73
wav/creswell_crags__b-format__1_s_mainlevel_r_mainlevel2.wav,0.73
wav/creswell_crags__b-format__3_r_rhcbottom_s_acrosswater.wav,0.73
wav/creswell_crags__b-format__1_r_rhcbottom_s_rhc_bottom.wav,0.73
wav/creswell_crags__b-format__2_r_rhcbottom_s_rhc_mouth.wav,0.73
wav/creswell_crags__b-format__5_r_rhcmouth_s_rhcpath.wav,0.73
wav/creswell_crags__b-format__4_r_cragent_s_boathouse.wav,0.73
wav/creswell_crags__b-format__3_s_mainlevel_r_furtherin.wav,0.73
wav/creswell_crags__b-format__4_r_cragent_s_boathouse2.wav,0.73
wav/creswell_crags__b-format__6_r_pinholemouth_s_pinholepath.wav,0.73
wav/creswell_crags__b-format__7_r_churchmouth_s_churchpath.wav,0.73
wav/creswell_crags__b-format__1_s_mainlevel_r_mainlevel.wav,0.73
wav/creswell_crags__b-format__8_r_grundymouth_s_grundypath.wav,0.73
wav/innocent_railway_tunnel__b-format__tunnel_entrance_a_1way_bformat.wav,3.72
wav/innocent_railway_tunnel__b-format__tunnel_entrance_b_1way_bformat.wav,3.72
wav/innocent_railway_tunnel__b-format__tunnel_entrance_f_4way_bformat.wav,3.72
wav/innocent_railway_tunnel__b-format__tunnel_entrance_a_4way_bformat.wav,3.72
wav/innocent_railway_tunnel__b-format__tunnel_entrance_d_1way_bformat.wav,3.72
wav/innocent_railway_tunnel__b-format__tunnel_entrance_f_1way_bformat.wav,3.72
wav/innocent_railway_tunnel__b-format__middle_tunnel_4way_bformat.wav,3.72
wav/innocent_railway_tunnel__b-format__tunnel_entrance_b_4way_bformat.wav,3.72
wav/innocent_railway_tunnel__b-format__tunnel_entrance_e_4way_bformat.wav,3.72
wav/innocent_railway_tunnel__b-format__tunnel_entrance_e_1way_bformat.wav,3.72
wav/innocent_railway_tunnel__b-format__tunnel_entrance_c_4way_bformat.wav,3.72
wav/innocent_railway_tunnel__b-format__tunnel_entrance_d_4way_bformat.wav,3.72
wav/innocent_railway_tunnel__b-format__tunnel_entrance_c_1way_bformat.wav,3.72
wav/innocent_railway_tunnel__b-format__middle_tunnel_1way_bformat.wav,3.72
wav/spokane_womans_club__stereo__spokane_womans_club_ir.wav,2.52
wav/terrys_factory_warehouse__stereo__terrys_warehouse_stereo.wav,10.22
wav/jack_lyons_concert_hall_university_york__b-format__rir_jack_lyons_lp3_96k.wav,1.89
wav/jack_lyons_concert_hall_university_york__b-format__rir_jack_lyons_lp1_96k.wav,1.89
wav/jack_lyons_concert_hall_university_york__b-format__rir_jack_lyons_lp2_96k.wav,1.89
wav/jack_lyons_concert_hall_university_york__b-format__rir_jack_lyons_lp4_96k.wav,1.89
wav/sports_centre_university_york__stereo__sportscentre_ortf.wav,6.81
wav/terrys_typing_room__stereo__terrys_typing_ortf.wav,2.98
wav/dixon_studio_theatre_university_york__b-format__r4_rir_bformat.wav,1.09
wav/dixon_studio_theatre_university_york__b-format__r1_rir_bformat.wav,1.09
wav/dixon_studio_theatre_university_york__b-format__r3_rir_bformat.wav,1.09
wav/dixon_studio_theatre_university_york__b-format__r2_rir_bformat.wav,1.09
wav/dixon_studio_theatre_university_york__b-format__r5_rir_bformat.wav,1.09
wav/koli_national_park_summer__b-format__koli_summer_site3_1way_bformat.wav,2.1
wav/koli_national_park_summer__b-format__koli_summer_site3_4way_bformat.wav,2.1
wav/koli_national_park_summer__b-format__koli_summer_site4_4way_bformat.wav,2.1
wav/koli_national_park_summer__b-format__koli_summer_site2_4way_bformat.wav,2.1
wav/koli_national_park_summer__b-format__koli_summer_site1_4way_bformat.wav,2.1
wav/koli_national_park_summer__b-format__koli_summer_site2_1way_bformat.wav,2.1
wav/koli_national_park_summer__b-format__koli_summer_site1_1way_bformat.wav,2.1
wav/koli_national_park_summer__b-format__koli_summer_site4_1way_bformat.wav,2.1
wav/spring_lane_building_university_york__stereo__sp1_mp5_ir_stereo_trimmed.wav,1.38
